,total_abs_front
2019-01-05 14:00:00-06:00,2.9142296901913767
2019-01-05 15:00:00-06:00,13.187421636480622
2019-01-05 16:00:00-06:00,26.81457301070573
2019-01-05 17:00:00-06:00,39.9318788218607
2019-01-05 18:00:00-06:00,40.63751381865977
2019-01-05 19:00:00-06:00,40.63751381865977
2019-01-05 20:00:00-06:00,40.63751381865977
2019-01-05 21:00:00-06:00,40.63751381865977
2019-01-05 22:00:00-06:00,40.63751381865977
2019-01-05 23:00:00-06:00,40.63751381865977
2019-01-06 00:00:00-06:00,40.63751381865977
2019-01-06 01:00:00-06:00,40.63751381865977
2019-01-06 02:00:00-06:00,40.63751381865977
2019-01-06 03:00:00-06:00,40.63751381865977
2019-01-06 04:00:00-06:00,40.63751381865977
2019-01-06 05:00:00-06:00,40.63751381865977
